user_id,task_name,erroneous_changes_smartwatch_assisted,erroneous_changes_smartwatch_unassisted,message_length_smartwatch_assisted,message_length_smartwatch_unassisted,non_contiguous_errors_per_100_chars_smartwatch_assisted,non_contiguous_errors_per_100_chars_smartwatch_unassisted,time_taken_phone,time_taken_smartwatch_assisted,time_taken_smartwatch_unassisted,total_changes_smartwatch_assisted,total_changes_smartwatch_unassisted
efe_go,Task 1,0.0,,0.0,,0.0,,6.37,3.499,,0.0,
efe_go,Task 2,0.0,0.0,14.0,14.0,7.143,14.286,8.67,17.313,18.704,1.0,0.0
efe_go,Task 3.1,1.0,0.0,68.0,68.0,7.353,11.765,14.22,60.333,61.275,4.0,0.0
efe_go,Task 3.2,1.0,0.0,75.0,75.0,8.0,13.333,16.85,46.207,47.982,9.0,0.0
efe_v,Task 1,0.0,,0.0,,0.0,,9.03,2.836,,0.0,
efe_v,Task 2,0.0,0.0,14.0,14.0,7.143,14.286,10.25,12.791,15.421,1.0,0.0
efe_v,Task 3.1,0.0,0.0,68.0,60.0,14.706,18.333,18.29,62.014,56.522,6.0,0.0
efe_v,Task 3.2,0.0,0.0,75.0,75.0,8.0,10.667,20.66,59.246,56.219,8.0,0.0
hyungchan_u1,Task 1,0.0,,0.0,,0.0,,6.05,5.3,,0.0,
hyungchan_u1,Task 2,0.0,0.0,14.0,14.0,21.429,28.571,7.01,19.043,19.939,0.0,0.0
hyungchan_u1,Task 3.1,0.0,0.0,68.0,68.0,5.882,13.235,11.57,62.879,72.4,5.0,0.0
hyungchan_u1,Task 3.2,0.0,0.0,75.0,75.0,4.0,13.333,12.29,73.837,74.654,8.0,0.0
hyungchan_u2,Task 1,0.0,,0.0,,0.0,,7.27,4.228,,0.0,
hyungchan_u2,Task 2,0.0,0.0,14.0,14.0,7.143,14.286,8.33,22.752,25.367,1.0,0.0
hyungchan_u2,Task 3.1,0.0,0.0,68.0,68.0,2.941,8.824,24.73,69.759,87.969,5.0,0.0
hyungchan_u2,Task 3.2,0.0,0.0,75.0,75.0,6.667,20.0,28.54,48.665,83.192,10.0,0.0
kevin_EY,Task 1,0.0,,0.0,,0.0,,5.09,6.0425,,0.0,
kevin_EY,Task 2,0.0,0.0,12.0,12.0,8.333,33.333,6.89,21.771,21.07,2.0,0.0
kevin_EY,Task 3.1,0.0,0.0,60.0,68.0,6.667,14.706,14.59,65.049,64.649,2.0,0.0
kevin_EY,Task 3.2,1.0,0.0,75.0,75.0,5.333,16.0,16.48,66.001,73.219,6.0,0.0
kevin_SA,Task 1,0.0,,0.0,,0.0,,4.89,5.309,,0.0,
kevin_SA,Task 2,0.0,0.0,14.0,12.0,7.143,25.0,7.25,17.129,22.64,0.0,0.0
kevin_SA,Task 3.1,0.0,0.0,68.0,68.0,5.882,19.118,15.67,63.54,73.588,7.0,0.0
kevin_SA,Task 3.2,0.0,1.0,75.0,75.0,9.333,24.0,16.42,62.431,87.616,8.0,1.0
nividp_U01,Task 1,0.0,,0.0,,0.0,,8.83,5.272,,0.0,
nividp_U01,Task 2,0.0,0.0,14.0,14.0,28.571,21.429,11.61,22.845,18.135,1.0,0.0
nividp_U01,Task 3.1,0.0,0.0,68.0,68.0,17.647,10.294,23.43,69.932,52.266,5.0,0.0
nividp_U01,Task 3.2,1.0,0.0,75.0,75.0,20.0,14.667,22.72,79.884,63.765,4.0,0.0
nividp_U02,Task 1,0.0,,0.0,,0.0,,9.24,2.311,,0.0,
nividp_U02,Task 2,0.0,0.0,14.0,14.0,28.571,14.286,7.43,17.475,15.161,2.0,0.0
nividp_U02,Task 3.1,0.0,0.0,68.0,68.0,5.882,20.588,16.58,54.04,74.247,6.0,3.0
nividp_U02,Task 3.2,1.0,0.0,75.0,75.0,9.333,10.667,19.84,64.308,67.555,6.0,0.0
oskar_user1,Task 1,0.0,,0.0,,0.0,,,5.739,,0.0,
oskar_user1,Task 2,0.0,0.0,14.0,14.0,42.857,0.0,,27.131,21.692,0.0,1.0
oskar_user1,Task 3.1,0.0,0.0,70.0,66.0,25.714,6.061,,77.621,68.376,0.0,1.0
oskar_user1,Task 3.2,0.0,0.0,75.0,75.0,6.667,4.0,,61.683,55.188,0.0,5.0
oskar_user2,Task 1,0.0,,0.0,,0.0,,,2.95,,0.0,
oskar_user2,Task 2,0.0,0.0,14.0,14.0,0.0,21.429,,14.67,20.319,0.0,1.0
oskar_user2,Task 3.1,0.0,1.0,68.0,68.0,22.059,7.353,,82.947,61.28,0.0,5.0
oskar_user2,Task 3.2,0.0,1.0,75.0,75.0,8.0,12.0,,68.12,80.93,0.0,6.0
ryan_Participant A,Task 1,0.0,,0.0,,0.0,,12.6,3.816,,0.0,
ryan_Participant A,Task 2,0.0,0.0,14.0,14.0,14.286,7.143,8.35,13.827,11.421,1.0,0.0
ryan_Participant A,Task 3.1,0.0,0.0,68.0,68.0,30.882,8.824,18.01,69.915,62.03,5.0,0.0
ryan_Participant A,Task 3.2,0.0,0.0,77.0,75.0,15.584,9.333,21.54,60.765,50.11,7.0,0.0
ryan_Participant C,Task 1,0.0,,0.0,,0.0,,12.5,4.738,,0.0,
ryan_Participant C,Task 2,1.0,0.0,12.0,14.0,8.333,21.429,13.63,16.791,17.485,2.0,0.0
ryan_Participant C,Task 3.1,0.0,0.0,68.0,68.0,11.765,10.294,16.76,57.233,59.432,5.0,0.0
ryan_Participant C,Task 3.2,1.0,0.0,75.0,75.0,12.0,16.0,17.09,64.696,56.93,9.0,0.0
