u,task,time_taken
oskar_user1,1,7.593
oskar_user1,2,9.105
oskar_user1,31,16.43
oskar_user1,32,19.84
oskar_user2,1,9.204
oskar_user2,2,11.304
oskar_user2,31,14.98
oskar_user2,32,15.49
kevin_EY,1,5.09
kevin_EY,2,6.89
kevin_EY,31,14.59
kevin_EY,32,16.48
kevin_SA,1,4.89
kevin_SA,2,7.25
kevin_SA,31,15.67
kevin_SA,32,16.42
hyungchan_u1,1,6.05
hyungchan_u1,2,7.01
hyungchan_u1,31,11.57
hyungchan_u1,32,12.29
hyungchan_u2,1,7.27
hyungchan_u2,2,8.33
hyungchan_u2,31,24.73
hyungchan_u2,32,28.54
efe_go,1,6.37
efe_go,2,8.67
efe_go,31,14.22
efe_go,32,16.85
efe_v,1,9.03
efe_v,2,10.25
efe_v,31,18.29
efe_v,32,20.66
nividp_U01,1,8.83
nividp_U01,2,11.61
nividp_U01,31,23.43
nividp_U01,32,22.72
nividp_U02,1,9.24
nividp_U02,2,7.43
nividp_U02,31,16.58
nividp_U02,32,19.84
ryan_Participant A,1,12.6
ryan_Participant A,2,8.35
ryan_Participant A,31,18.01
ryan_Participant A,32,21.54
ryan_Participant C,1,12.5
ryan_Participant C,2,13.63
ryan_Participant C,31,16.76
ryan_Participant C,32,17.09
